"Parcel.Number","Parcel Type"
"102-85-660","Rental Parcel"
"102-17-418","Residential Parcel"
"102-17-788","Residential Parcel"
"102-58-153","Residential Parcel"
"102-72-227","Residential Parcel"
"102-85-740","Residential Parcel"
"102-85-752","Residential Parcel"
"102-85-843","Residential Parcel"
"102-17-461","Residential Parcel"
"102-17-842","Residential Parcel"
"102-72-292","Residential Parcel"
"102-85-766","Rental Parcel"
"102-90-514","Residential Parcel"
"102-17-558","Rental Parcel"
"102-17-573","Residential Parcel"
"102-17-820","Rental Parcel"
"102-17-855","Residential Parcel"
"102-17-866","Residential Parcel"
"102-17-871","Residential Parcel"
"102-72-219","Rental Parcel"
"102-72-298","Residential Parcel"
"102-82-113","Rental Parcel"
"102-90-542","Residential Parcel"
"102-90-633","Residential Parcel"
"102-85-618","Residential Parcel"
"102-85-624","Residential Parcel"
"102-85-852","Residential Parcel"
"102-90-474","Residential Parcel"
"102-90-701","Residential Parcel"
"102-17-631","Residential Parcel"
"102-17-276","Residential Parcel"
"102-17-395","Residential Parcel"
"102-17-783","Rental Parcel"
"102-90-454","Residential Parcel"
"102-17-440","Residential Parcel"
"102-17-246","Residential Parcel"
"102-17-428","Residential Parcel"
"102-72-327","Residential Parcel"
"102-72-218","Residential Parcel"
"102-72-378","Residential Parcel"
"102-82-305A","Residential Parcel"
"102-17-805","Residential Parcel"
"102-85-650","Rental Parcel"
"102-90-392","Rental Parcel"
"102-90-583","Residential Parcel"
"102-90-678","Residential Parcel"
"102-17-407","Residential Parcel"
"102-17-546","Rental Parcel"
"102-17-662","Residential Parcel"
"102-82-052","Residential Parcel"
"102-82-170","Residential Parcel"
"102-17-456","Residential Parcel"
"102-72-186","Residential Parcel"
"102-72-339","Residential Parcel"
"102-82-169","Residential Parcel"
"102-85-829","Residential Parcel"
"102-90-641","Residential Parcel"
"102-90-706","Residential Parcel"
"102-17-836","Residential Parcel"
"102-72-243","Residential Parcel"
"102-82-132","Residential Parcel"
"102-90-226","Rental Parcel"
"102-90-564","Rental Parcel"
"102-90-745","Residential Parcel"
"102-17-274","Residential Parcel"
"102-17-663","Residential Parcel"
"102-72-361","Rental Parcel"
"102-72-374","Rental Parcel"
"102-85-678","Residential Parcel"
"102-85-680","Residential Parcel"
"102-85-804","Residential Parcel"
"102-90-407","Rental Parcel"
"102-90-848","Land Parcel"
"102-17-621","Residential Parcel"
"102-17-622","Residential Parcel"
"102-17-838","Residential Parcel"
"102-17-840","Residential Parcel"
"102-72-408","Residential Parcel"
"102-82-152","Rental Parcel"
"102-85-823","Residential Parcel"
"102-90-779","Residential Parcel"
"102-22-861","Residential Parcel"
"102-17-388","Residential Parcel"
"102-72-285","Residential Parcel"
"102-72-288","Residential Parcel"
"102-72-290","Rental Parcel"
"102-85-758","Residential Parcel"
"102-90-434","Residential Parcel"
"102-90-536","Residential Parcel"
"102-90-721","Residential Parcel"
"102-22-859","Residential Parcel"
"102-17-579","Residential Parcel"
"102-17-661","Residential Parcel"
"102-72-214","Residential Parcel"
"102-72-274","Residential Parcel"
"102-85-808","Residential Parcel"
"102-90-526","Residential Parcel"
"102-90-803","Rental Parcel"
"102-17-264","Residential Parcel"
"102-17-861","Residential Parcel"
"102-72-355","Residential Parcel"
"102-72-372","Rental Parcel"
"102-82-308","Residential Parcel"
"102-17-324","Residential Parcel"
"102-17-569","Residential Parcel"
"102-85-697","Residential Parcel"
"102-90-409","Residential Parcel"
"102-90-473","Residential Parcel"
"102-90-774","Rental Parcel"
"102-22-864","Residential Parcel"
"102-58-304","Residential Parcel"
"102-85-687","Residential Parcel"
"102-85-699","Residential Parcel"
"102-85-753","Residential Parcel"
"102-90-508","Residential Parcel"
"102-90-788","Residential Parcel"
"102-90-712","Residential Parcel"
"102-17-864","Residential Parcel"
"102-72-318","Rental Parcel"
"102-82-135","Residential Parcel"
"102-85-845","Residential Parcel"
"102-90-493","Rental Parcel"
"102-17-578","Residential Parcel"
"102-17-825","Residential Parcel"
"102-85-607","Residential Parcel"
"102-85-611","Residential Parcel"
"102-85-674","Residential Parcel"
"102-85-833","Residential Parcel"
"102-90-768","Residential Parcel"
"102-18-837","Residential Parcel"
"102-17-321","Residential Parcel"
"102-90-836","Residential Parcel"
"102-58-161","Residential Parcel"
"102-72-323","Residential Parcel"
"102-72-244","Residential Parcel"
"102-82-114","Rental Parcel"
"102-85-703","Residential Parcel"
"102-17-594","Residential Parcel"
"102-72-255","Rental Parcel"
"102-82-049","Residential Parcel"
"102-85-711","Residential Parcel"
"102-72-271","Residential Parcel"
"102-90-416","Residential Parcel"
"102-90-741","Residential Parcel"
"102-90-817","Rental Parcel"
"102-17-547","Residential Parcel"
"102-85-736","Residential Parcel"
"102-85-670","Rental Parcel"
"102-17-417","Residential Parcel"
"102-17-446","Rental Parcel"
"102-72-312","Residential Parcel"
"102-85-691","Residential Parcel"
"102-85-726","Residential Parcel"
"102-90-650","Residential Parcel"
"102-17-322","Residential Parcel"
"102-58-306","Residential Parcel"
"102-90-510","Rental Parcel"
"102-90-602","Residential Parcel"
"102-17-240","Residential Parcel"
"102-72-216","Residential Parcel"
"102-82-658A","Residential Parcel"
"102-85-598","Residential Parcel"
"102-85-761","Rental Parcel"
"102-90-222","Residential Parcel"
"102-90-609","Residential Parcel"
"102-90-834","Residential Parcel"
"102-17-543","Residential Parcel"
"102-17-777","Residential Parcel"
"102-72-212","Rental Parcel"
"102-82-116","Residential Parcel"
"102-90-388","Residential Parcel"
"102-90-632","Residential Parcel"
"102-17-313","Residential Parcel"
"102-17-619","Residential Parcel"
"102-72-222","Residential Parcel"
"102-85-656","Residential Parcel"
"102-22-871","Residential Parcel"
"102-72-299","Residential Parcel"
"102-85-585","Residential Parcel"
"102-82-141","Residential Parcel"
"102-82-150","Residential Parcel"
"102-85-729","Residential Parcel"
"102-90-671","Residential Parcel"
"102-90-782","Rental Parcel"
"102-17-265","Residential Parcel"
"102-17-399","Residential Parcel"
"102-72-223","Residential Parcel"
"102-72-369","Residential Parcel"
"102-82-115","Residential Parcel"
"102-90-557","Residential Parcel"
"102-72-324","Rental Parcel"
"102-90-430","Rental Parcel"
"102-90-640","Residential Parcel"
"102-90-716","Residential Parcel"
"102-18-840","Residential Parcel"
"102-90-575","Residential Parcel"
"102-72-257","Residential Parcel"
"102-85-692","Residential Parcel"
"102-85-694","Rental Parcel"
"102-90-456","Residential Parcel"
"102-72-215","Residential Parcel"
"102-85-646","Rental Parcel"
"102-90-755","Residential Parcel"
"102-17-373","Residential Parcel"
"102-17-773","Rental Parcel"
"102-17-837","Residential Parcel"
"102-72-276","Residential Parcel"
"102-72-358","Residential Parcel"
"102-72-365","Residential Parcel"
"102-85-767","Residential Parcel"
"102-90-487","Rental Parcel"
"102-90-804","Residential Parcel"
"102-90-332","Residential Parcel"
"102-90-587","Rental Parcel"
"102-17-819","Residential Parcel"
"102-17-638","Residential Parcel"
"102-72-277","Residential Parcel"
"102-72-325","Residential Parcel"
"102-22-874","Residential Parcel"
"102-22-858","Residential Parcel"
"102-72-220","Residential Parcel"
"102-85-661","Rental Parcel"
"102-90-334","Rental Parcel"
"102-58-176","Residential Parcel"
"102-72-266","Residential Parcel"
"102-85-768","Rental Parcel"
"102-90-801","Residential Parcel"
"102-22-863","Residential Parcel"
"102-17-271","Residential Parcel"
"102-17-365","Residential Parcel"
"102-17-846","Residential Parcel"
"102-85-597","Residential Parcel"
"102-85-769","Residential Parcel"
"102-90-522","Residential Parcel"
"102-90-534","Residential Parcel"
"102-90-822","Residential Parcel"
"102-72-350","Residential Parcel"
"102-82-111","Residential Parcel"
"102-90-625","Residential Parcel"
"102-17-628","Residential Parcel"
"102-72-207","Residential Parcel"
"102-85-693","Residential Parcel"
"102-90-451","Residential Parcel"
"102-90-459","Residential Parcel"
"102-90-485","Residential Parcel"
"102-90-561","Residential Parcel"
"102-17-610","Rental Parcel"
"102-17-649","Residential Parcel"
"102-72-260","Residential Parcel"
"102-72-295","Rental Parcel"
"102-72-380","Rental Parcel"
"102-90-464","Residential Parcel"
"102-90-432","Residential Parcel"
"102-17-305","Residential Parcel"
"102-17-548","Residential Parcel"
"102-17-625","Residential Parcel"
"102-17-807","Residential Parcel"
"102-82-146","Residential Parcel"
"102-17-393","Residential Parcel"
"102-17-390","Rental Parcel"
"102-85-622","Residential Parcel"
"102-85-695","Residential Parcel"
"102-90-499","Residential Parcel"
"102-90-679","Rental Parcel"
"102-18-836","Residential Parcel"
"102-90-331","Residential Parcel"
"102-90-424","Residential Parcel"
"102-72-273","Residential Parcel"
"102-72-278","Residential Parcel"
"102-72-317","Residential Parcel"
"102-72-345","Residential Parcel"
"102-85-750","Residential Parcel"
"102-17-641","Rental Parcel"
"102-58-069","Rental Parcel"
"102-58-169","Residential Parcel"
"102-72-326","Residential Parcel"
"102-82-307","Residential Parcel"
"102-90-616","Residential Parcel"
"102-90-675","Residential Parcel"
"102-17-829","Residential Parcel"
"102-58-171","Residential Parcel"
"102-58-295","Residential Parcel"
"102-85-614","Residential Parcel"
"102-85-655","Residential Parcel"
"102-85-696","Residential Parcel"
"102-90-490","Residential Parcel"
"102-90-600","Residential Parcel"
"102-17-387","Residential Parcel"
"102-17-581","Residential Parcel"
"102-72-211","Residential Parcel"
"102-72-275","Residential Parcel"
"102-72-404","Residential Parcel"
"102-85-788","Residential Parcel"
"102-85-853","Residential Parcel"
"102-90-549","Residential Parcel"
"102-17-589","Residential Parcel"
"102-17-785","Residential Parcel"
"102-58-302","Residential Parcel"
"102-72-231","Residential Parcel"
"102-82-138","Residential Parcel"
"102-85-714","Residential Parcel"
"102-85-803","Residential Parcel"
"102-90-537","Residential Parcel"
"102-17-396","Residential Parcel"
"102-17-627","Residential Parcel"
"102-17-784","Residential Parcel"
"102-17-811","Residential Parcel"
"102-17-830","Residential Parcel"
"102-82-055","Residential Parcel"
"102-85-780","Rental Parcel"
"102-85-591","Residential Parcel"
"102-85-701","Residential Parcel"
"102-85-754","Residential Parcel"
"102-90-590","Rental Parcel"
"102-17-824","Residential Parcel"
"102-17-273","Residential Parcel"
"102-82-628A","Rental Parcel"
"102-90-610","Residential Parcel"
"102-90-766","Residential Parcel"
"102-17-787","Residential Parcel"
"102-82-155","Residential Parcel"
"102-85-731","Residential Parcel"
"102-85-814","Residential Parcel"
"102-90-781","Residential Parcel"
"102-17-401","Residential Parcel"
"102-17-827","Residential Parcel"
"102-17-985","Commercial Parcel"
"102-85-842","Residential Parcel"
"102-90-515","Rental Parcel"
"102-90-674","Residential Parcel"
"102-90-689","Rental Parcel"
"102-17-268","Residential Parcel"
"102-17-823","Residential Parcel"
"102-82-312","Residential Parcel"
"102-90-217","Residential Parcel"
"102-90-692","Rental Parcel"
"102-90-783","Residential Parcel"
"102-17-364","Residential Parcel"
"102-17-623","Residential Parcel"
"102-17-626","Residential Parcel"
"102-72-188","Residential Parcel"
"102-90-411","Residential Parcel"
"102-90-563","Residential Parcel"
"102-17-382","Residential Parcel"
"102-17-404","Residential Parcel"
"102-17-844","Residential Parcel"
"102-72-252","Residential Parcel"
"102-17-306","Residential Parcel"
"102-17-433","Residential Parcel"
"102-58-330","Residential Parcel"
"102-72-383","Rental Parcel"
"102-90-593","Residential Parcel"
"102-90-615","Rental Parcel"
"102-90-726","Rental Parcel"
"102-90-831","Residential Parcel"
"102-17-584","Residential Parcel"
"102-17-419","Residential Parcel"
"102-17-422","Residential Parcel"
"102-90-639","Residential Parcel"
"102-90-330","Residential Parcel"
"102-90-792","Residential Parcel"
"102-17-250","Residential Parcel"
"102-17-850","Residential Parcel"
"102-58-144","Residential Parcel"
"102-82-051","Residential Parcel"
"102-90-471","Residential Parcel"
"102-90-643","Residential Parcel"
"102-72-281","Residential Parcel"
"102-72-332","Residential Parcel"
"102-72-366","Residential Parcel"
"102-82-136","Residential Parcel"
"102-17-559","Residential Parcel"
"102-17-660","Residential Parcel"
"102-17-795","Residential Parcel"
"102-72-182","Rental Parcel"
"102-58-328","Residential Parcel"
"102-72-284","Residential Parcel"
"102-85-669","Residential Parcel"
"102-90-699","Residential Parcel"
"102-90-761","Residential Parcel"
"102-90-793","Rental Parcel"
"102-17-563","Residential Parcel"
"102-85-855","Residential Parcel"
"102-90-664","Residential Parcel"
"102-90-823","Residential Parcel"
"102-72-333","Residential Parcel"
"102-90-389","Rental Parcel"
"102-90-497","Rental Parcel"
"102-90-505","Residential Parcel"
"102-90-719","Residential Parcel"
"102-85-608","Rental Parcel"
"102-58-173","Rental Parcel"
"102-58-301","Rental Parcel"
"102-58-332","Residential Parcel"
"102-58-353","Residential Parcel"
"102-72-242","Rental Parcel"
"102-85-790","Residential Parcel"
"102-85-851","Residential Parcel"
"102-90-619","Residential Parcel"
"102-90-737","Residential Parcel"
"102-17-629","Residential Parcel"
"102-58-297","Rental Parcel"
"102-72-368","Residential Parcel"
"102-90-506","Residential Parcel"
"102-90-673","Residential Parcel"
"102-90-837","Residential Parcel"
"102-17-311A","Residential Parcel"
"102-17-384","Residential Parcel"
"102-82-165","Residential Parcel"
"102-90-453","Residential Parcel"
"102-17-600","Residential Parcel"
"102-58-141","Rental Parcel"
"102-72-334","Residential Parcel"
"102-17-984","Commercial Parcel"
"102-82-153","Residential Parcel"
"102-90-555","Rental Parcel"
"102-22-862","Residential Parcel"
"102-17-567","Residential Parcel"
"102-82-306A","Residential Parcel"
"102-58-136","Rental Parcel"
"102-17-598","Residential Parcel"
"102-17-602","Residential Parcel"
"102-85-589","Residential Parcel"
"102-90-509","Rental Parcel"
"102-22-851","Residential Parcel"
"102-18-957","Residential Parcel"
"102-17-821","Residential Parcel"
"102-72-195","Residential Parcel"
"102-82-171","Residential Parcel"
"102-85-831","Residential Parcel"
"102-90-544","Residential Parcel"
"102-17-279","Residential Parcel"
"102-58-303","Rental Parcel"
"102-82-042","Residential Parcel"
"102-82-046","Residential Parcel"
"102-82-117","Rental Parcel"
"102-85-675","Residential Parcel"
"102-90-423","Rental Parcel"
"102-90-566","Residential Parcel"
"102-90-579","Residential Parcel"
"102-90-718","Rental Parcel"
"102-90-758","Residential Parcel"
"102-90-799","Residential Parcel"
"102-17-435","Residential Parcel"
"102-58-329","Residential Parcel"
"102-72-340","Residential Parcel"
"102-85-602","Residential Parcel"
"102-85-705","Residential Parcel"
"102-85-713","Residential Parcel"
"102-90-669","Residential Parcel"
"102-90-771","Rental Parcel"
"102-72-314","Rental Parcel"
"102-85-715","Residential Parcel"
"102-90-437","Residential Parcel"
"102-90-821","Rental Parcel"
"102-22-870","Residential Parcel"
"102-17-370","Residential Parcel"
"102-85-751","Residential Parcel"
"102-85-797","Residential Parcel"
"102-85-840","Residential Parcel"
"102-90-608","Rental Parcel"
"102-22-843","Residential Parcel"
"102-17-441","Residential Parcel"
"102-17-839","Residential Parcel"
"102-85-603","Residential Parcel"
"102-90-512","Rental Parcel"
"102-90-809","Rental Parcel"
"102-17-799","Residential Parcel"
"102-72-232","Residential Parcel"
"102-82-302","Residential Parcel"
"102-85-645","Rental Parcel"
"102-85-707","Residential Parcel"
"102-17-808","Residential Parcel"
"102-17-849","Residential Parcel"
"102-58-321","Residential Parcel"
"102-85-759","Residential Parcel"
"102-85-815","Residential Parcel"
"102-85-837","Rental Parcel"
"102-90-819","Residential Parcel"
"102-17-405","Residential Parcel"
"102-17-613","Residential Parcel"
"102-72-313","Residential Parcel"
"102-90-444","Residential Parcel"
"102-90-649","Residential Parcel"
"102-90-767","Rental Parcel"
"102-17-640","Residential Parcel"
"102-72-403","Residential Parcel"
"102-82-656A","Residential Parcel"
"102-85-605","Residential Parcel"
"102-85-717","Residential Parcel"
"102-85-787","Residential Parcel"
"102-85-830","Rental Parcel"
"102-85-850","Residential Parcel"
"102-90-528","Residential Parcel"
"102-17-608","Residential Parcel"
"102-58-305","Residential Parcel"
"102-72-263","Residential Parcel"
"102-82-295A","Residential Parcel"
"102-85-746","Residential Parcel"
"102-90-724","Residential Parcel"
"102-17-376","Rental Parcel"
"102-17-381","Residential Parcel"
"102-17-797","Residential Parcel"
"102-85-647","Residential Parcel"
"102-85-728","Rental Parcel"
"102-90-517","Residential Parcel"
"102-17-257","Residential Parcel"
"102-17-620","Residential Parcel"
"102-72-262","Residential Parcel"
"102-90-422","Rental Parcel"
"102-90-759","Residential Parcel"
"102-90-787","Residential Parcel"
"102-18-829","Residential Parcel"
"102-17-774","Rental Parcel"
"102-72-206","Residential Parcel"
"102-72-289","Rental Parcel"
"102-72-373","Residential Parcel"
"102-85-776","Residential Parcel"
"102-85-786","Residential Parcel"
"102-90-580","Residential Parcel"
"102-90-626","Residential Parcel"
"102-90-769","Residential Parcel"
"102-17-406","Residential Parcel"
"102-17-586","Residential Parcel"
"102-17-793","Residential Parcel"
"102-17-814","Rental Parcel"
"102-72-377","Residential Parcel"
"102-90-479","Residential Parcel"
"102-90-556","Residential Parcel"
"102-90-642","Residential Parcel"
"102-90-752","Rental Parcel"
"102-72-238","Residential Parcel"
"102-72-202","Residential Parcel"
"102-85-730","Residential Parcel"
"102-90-786","Rental Parcel"
"102-17-252","Residential Parcel"
"102-17-786","Residential Parcel"
"102-72-213","Residential Parcel"
"102-85-643","Residential Parcel"
"102-85-774","Residential Parcel"
"102-90-658","Residential Parcel"
"102-82-163","Residential Parcel"
"102-90-440","Residential Parcel"
"102-17-277","Rental Parcel"
"102-17-448","Residential Parcel"
"102-72-224","Residential Parcel"
"102-90-614","Residential Parcel"
"102-90-631","Residential Parcel"
"102-90-648","Residential Parcel"
"102-90-725","Residential Parcel"
"102-90-736","Residential Parcel"
"102-58-080","Residential Parcel"
"102-72-199","Residential Parcel"
"102-85-782","Residential Parcel"
"102-90-426","Residential Parcel"
"102-90-496","Residential Parcel"
"102-90-629","Residential Parcel"
"102-90-661","Residential Parcel"
"102-17-450","Residential Parcel"
"102-72-259","Residential Parcel"
"102-72-272","Residential Parcel"
"102-82-047","Residential Parcel"
"102-85-834","Residential Parcel"
"102-72-221","Residential Parcel"
"102-72-237","Residential Parcel"
"102-85-590","Rental Parcel"
"102-85-626","Residential Parcel"
"102-85-738","Residential Parcel"
"102-17-614","Residential Parcel"
"102-17-248","Residential Parcel"
"102-17-459","Residential Parcel"
"102-85-841","Residential Parcel"
"102-90-760","Residential Parcel"
"102-82-162","Residential Parcel"
"102-90-503","Rental Parcel"
"102-90-558","Residential Parcel"
"102-90-598","Residential Parcel"
"102-18-827","Residential Parcel"
"102-17-366","Residential Parcel"
"102-90-406","Residential Parcel"
"102-90-613","Residential Parcel"
"102-90-730","Residential Parcel"
"102-18-958","Residential Parcel"
"102-58-308","Residential Parcel"
"102-58-310","Residential Parcel"
"102-17-260","Residential Parcel"
"102-17-551","Residential Parcel"
"102-90-713","Residential Parcel"
"102-72-204","Residential Parcel"
"102-72-267","Residential Parcel"
"102-90-439","Residential Parcel"
"102-90-705","Residential Parcel"
"102-90-666","Residential Parcel"
"102-58-177","Residential Parcel"
"102-72-229","Residential Parcel"
"102-85-595","Residential Parcel"
"102-72-294","Residential Parcel"
"102-85-721","Residential Parcel"
"102-90-647","Residential Parcel"
"102-58-159","Residential Parcel"
"102-90-333","Rental Parcel"
"102-17-259","Residential Parcel"
"102-17-632","Residential Parcel"
"102-17-804","Residential Parcel"
"102-72-191","Residential Parcel"
"102-82-314","Residential Parcel"
"102-90-417","Residential Parcel"
"102-90-606","Residential Parcel"
"102-90-617","Residential Parcel"
"102-17-648","Residential Parcel"
"102-85-822","Residential Parcel"
"102-90-472","Residential Parcel"
"102-90-688","Residential Parcel"
"102-17-781","Rental Parcel"
"102-17-859","Residential Parcel"
"102-72-397","Residential Parcel"
"102-82-112","Residential Parcel"
"102-85-621","Residential Parcel"
"102-90-413","Residential Parcel"
"102-90-545","Residential Parcel"
"102-90-660","Residential Parcel"
"102-22-848","Residential Parcel"
"102-18-838","Residential Parcel"
"102-72-279","Residential Parcel"
"102-82-144","Residential Parcel"
"102-90-475","Residential Parcel"
"102-90-560","Rental Parcel"
"102-90-702","Residential Parcel"
"102-90-751","Residential Parcel"
"102-90-791","Residential Parcel"
"102-17-325","Residential Parcel"
"102-17-789","Rental Parcel"
"102-72-258","Rental Parcel"
"102-72-393","Residential Parcel"
"102-82-319","Residential Parcel"
"102-85-810","Residential Parcel"
"102-90-652","Residential Parcel"
"102-17-557","Rental Parcel"
"102-72-321","Rental Parcel"
"102-85-604","Residential Parcel"
"102-85-664","Residential Parcel"
"102-85-679","Residential Parcel"
"102-85-685","Residential Parcel"
"102-90-750","Residential Parcel"
"102-17-647","Residential Parcel"
"102-85-652","Residential Parcel"
"102-90-468","Residential Parcel"
"102-90-627","Residential Parcel"
"102-90-796","Residential Parcel"
